Date,Adj Close,
25-10-2013,20683.52,19523.14
28-10-2013,20570.28,19530.75
29-10-2013,20929.01,19548.60
30-10-2013,21033.97,19569.01
31-10-2013,21164.52,19593.95
01-11-2013,21196.81,19623.29
05-11-2013,20974.79,19649.15
06-11-2013,20894.94,19674.19
07-11-2013,20822.77,19700.52
08-11-2013,20666.15,19724.07
11-11-2013,20490.96,19751.98
12-11-2013,20281.91,19777.64
13-11-2013,20194.40,19799.95
14-11-2013,20399.42,19823.00
18-11-2013,20850.74,19848.73
19-11-2013,20890.82,19872.91
20-11-2013,20635.13,19905.24
21-11-2013,20229.05,19935.74
22-11-2013,20217.39,19967.03
25-11-2013,20605.08,20009.88
26-11-2013,20425.02,20043.40
27-11-2013,20420.26,20073.57
28-11-2013,20534.91,20104.95
29-11-2013,20791.93,20149.77
02-12-2013,20898.01,20195.83
03-12-2013,20854.92,20234.79
04-12-2013,20708.71,20267.94
05-12-2013,20957.81,20300.83
06-12-2013,20996.53,20344.67
09-12-2013,21326.42,20388.46
10-12-2013,21255.26,20424.58
11-12-2013,21171.41,20454.76
12-12-2013,20925.61,20469.50
13-12-2013,20715.58,20480.89
16-12-2013,20659.52,20494.83
17-12-2013,20612.14,20508.78
18-12-2013,20859.86,20526.52
19-12-2013,20708.62,20540.88
20-12-2013,21079.72,20558.62
23-12-2013,21101.03,20565.83
24-12-2013,21032.71,20578.04
26-12-2013,21074.59,20596.67
27-12-2013,21193.58,20616.88
30-12-2013,21143.01,20637.30
31-12-2013,21170.68,20657.57
01-01-2014,21140.48,20680.00
02-01-2014,20888.33,20703.95
03-01-2014,20851.33,20725.12
06-01-2014,20787.30,20739.18
07-01-2014,20693.24,20751.51
08-01-2014,20729.38,20764.76
09-01-2014,20713.37,20776.34
10-01-2014,20758.49,20784.42
13-01-2014,21134.21,20798.09
14-01-2014,21032.88,20806.10
15-01-2014,21289.49,20816.92
16-01-2014,21265.18,20828.31
17-01-2014,21063.62,20838.60
20-01-2014,21205.05,20843.71
21-01-2014,21251.12,20849.38
22-01-2014,21337.67,20856.89
23-01-2014,21373.66,20866.50
24-01-2014,21133.56,20872.98
27-01-2014,20707.45,20873.36
28-01-2014,20683.51,20875.16
29-01-2014,20647.30,20870.69
30-01-2014,20498.25,20862.18
31-01-2014,20513.85,20851.86
03-02-2014,20209.26,20836.18
04-02-2014,20211.93,20824.07
05-02-2014,20261.03,20814.01
06-02-2014,20310.74,20805.88
07-02-2014,20376.56,20801.29
10-02-2014,20334.27,20798.80
11-02-2014,20363.37,20800.09
12-02-2014,20448.49,20804.12
13-02-2014,20193.35,20800.85
14-02-2014,20366.82,20793.17
17-02-2014,20464.06,20786.40
18-02-2014,20634.21,20786.38
19-02-2014,20722.97,20794.22
20-02-2014,20536.64,20799.29
21-02-2014,20700.75,20800.81
24-02-2014,20811.44,20806.94
25-02-2014,20852.47,20813.80
26-02-2014,20986.99,20820.98
28-02-2014,21120.12,20826.19
03-03-2014,20946.65,20826.96
04-03-2014,21209.73,20832.59
05-03-2014,21276.86,20841.61
06-03-2014,21513.87,20850.44
07-03-2014,21919.79,20865.09
10-03-2014,21934.83,20874.75
11-03-2014,21826.42,20883.82
12-03-2014,21856.22,20894.69
13-03-2014,21774.61,20908.16
14-03-2014,21809.80,20925.53
18-03-2014,21832.61,20944.15
19-03-2014,21832.86,20963.53
20-03-2014,21740.09,20977.50
21-03-2014,21753.75,20994.09
22-03-2014,21753.75,21004.79
24-03-2014,22055.48,21019.94
25-03-2014,22055.21,21036.17
26-03-2014,22095.30,21052.37
27-03-2014,22214.37,21068.57
28-03-2014,22339.97,21087.57
31-03-2014,22386.27,21106.87
01-04-2014,22446.44,21127.60
02-04-2014,22551.49,21154.00
03-04-2014,22509.07,21180.31
04-04-2014,22359.50,21205.26
07-04-2014,22343.45,21231.46
09-04-2014,22702.34,21262.78
10-04-2014,22715.33,21294.55
11-04-2014,22628.96,21324.24
15-04-2014,22484.93,21345.68
16-04-2014,22277.23,21365.43
17-04-2014,22628.84,21386.69
21-04-2014,22764.83,21410.50
22-04-2014,22758.37,21437.40
23-04-2014,22876.54,21463.93
24-04-2014,22876.54,21489.73
25-04-2014,22688.07,21511.17
28-04-2014,22631.61,21531.13
29-04-2014,22466.19,21552.29
30-04-2014,22417.80,21579.43
02-05-2014,22403.89,21606.74
05-05-2014,22445.12,21635.28
06-05-2014,22508.42,21667.19
07-05-2014,22323.90,21695.92
